[54, 95, 98, 26, 3, 39, 77, 30, 83, 62, 20, 92, 61, 59, 26, 63, 92, 49, 38, 51, 99, 64, 65, 52, 98, 18, 90, 97, 96, 13, 74, 3, 88, 88, 67, 10]
[49, 13, 73, 54, 4, 98, 36, 33, 12, 22, 35, 18, 39, 83, 92, 77, 50, 77, 57, 64, 0, 35, 86, 98, 28, 1, 53, 59, 28, 33, 56, 37, 98, 26, 81, 13]
[95, 84, 44, 16, 42, 73, 0, 53, 14, 63, 81, 91, 42, 14, 13, 59, 91, 24, 99, 71, 73, 34, 60, 65, 82, 55, 16, 75, 7, 18, 68, 6, 61, 6, 80, 41]
[27, 63, 35, 81, 56, 24, 70, 27, 59, 13, 36, 62, 73, 6, 61, 86, 48, 40, 88, 71, 52, 1, 9, 57, 50, 40, 20, 10, 3, 29, 19, 94, 99, 8, 74, 83]
[46, 75, 78, 14, 89, 76, 37, 26, 85, 78, 81, 27, 99, 41, 96, 52, 21, 65, 71, 48, 60, 32, 48, 31, 85, 35, 88, 5, 78, 22, 31, 97, 43, 80, 52, 45]
[0, 98, 50, 12, 0, 83, 46, 66, 67, 23, 52, 55, 41, 95, 5, 17, 78, 98, 74, 45, 97, 98, 96, 54, 48, 79, 29, 0, 73, 6, 16, 33, 20, 88, 9, 23]
[9, 2, 10, 57, 79, 65, 65, 0, 19, 64, 3, 18, 20, 93, 10, 30, 9, 0, 40, 51, 87, 34, 52, 71, 28, 23, 73, 61, 77, 60, 66, 91, 57, 58, 2, 9]
[27, 63, 51, 6, 3, 10, 7, 36, 80, 51, 93, 71, 73, 25, 3, 77, 35, 56, 36, 36, 77, 97, 14, 1, 78, 83, 5, 51, 99, 5, 93, 90, 1, 36, 83, 4]
[89, 94, 67, 64, 31, 66, 59, 16, 80, 22, 78, 72, 56, 83, 98, 10, 9, 57, 23, 4, 80, 37, 65, 30, 71, 55, 42, 9, 60, 18, 39, 58, 44, 79, 48, 29]
[79, 51, 3, 82, 81, 58, 99, 88, 54, 88, 81, 5, 63, 79, 52, 64, 48, 64, 68, 11, 50, 66, 35, 71, 9, 86, 11, 97, 42, 41, 0, 2, 56, 38, 15, 63]
[94, 35, 12, 94, 79, 40, 91, 45, 37, 98, 43, 30, 80, 81, 87, 19, 74, 87, 93, 35, 88, 89, 79, 44, 6, 87, 27, 49, 98, 44, 68, 39, 42, 87, 61, 84]
[5, 37, 89, 80, 31, 40, 1, 10, 54, 67, 23, 1, 75, 43, 49, 27, 29, 69, 43, 41, 7, 16, 63, 70, 5, 61, 74, 87, 2, 61, 50, 72, 91, 56, 12, 99]
[43, 35, 83, 94, 69, 45, 76, 73, 83, 60, 80, 31, 59, 34, 39, 63, 35, 13, 94, 78, 2, 24, 87, 21, 36, 38, 55, 19, 10, 82, 13, 95, 88, 54, 94, 75]
